"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\ADNAN\Documents\travisor\client\src\context\package-context.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\ADNAN\Documents\travisor\client\src\index.css", "CSS", 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\ADNAN\Documents\travisor\client\src\index.js", "JavaScript", 0, 0, 14, 0, 0, 0, 3, 3, 20
"c:\Users\ADNAN\Documents\travisor\client\src\pages\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 3, 66
"c:\Users\ADNAN\Documents\travisor\client\src\pages\BookingDetailView.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 6, 4, 41
"c:\Users\ADNAN\Documents\travisor\client\src\pages\Cancel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\ADNAN\Documents\travisor\client\src\pages\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 144, 0, 6, 150
"c:\Users\ADNAN\Documents\travisor\client\src\pages\Destination.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 120, 0, 7, 127
"c:\Users\ADNAN\Documents\travisor\client\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 8, 76
"c:\Users\ADNAN\Documents\travisor\client\src\pages\Itinerary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 642, 0, 17, 659
"c:\Users\ADNAN\Documents\travisor\client\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 76, 0, 9, 85
"c:\Users\ADNAN\Documents\travisor\client\src\pages\MyBookings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 189, 0, 8, 197
"c:\Users\ADNAN\Documents\travisor\client\src\pages\PackageDetailView.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 415, 0, 16, 431
"c:\Users\ADNAN\Documents\travisor\client\src\pages\Policies.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 3, 39
"c:\Users\ADNAN\Documents\travisor\client\src\pages\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 73, 9, 8, 90
"c:\Users\ADNAN\Documents\travisor\client\src\pages\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 91, 0, 9, 100
"c:\Users\ADNAN\Documents\travisor\client\src\pages\Success.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 2, 43
"c:\Users\ADNAN\Documents\travisor\client\src\pages\Summary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 271, 0, 10, 281
